	SP1	SP2	SP3	SP4	SP5	SP6	SP7	SP8	SP9	SP10	SP11	SP12	SP13	SP14	SP15
MCA_RS00005	6726	2369	6218	2133	3242	3154	4500	3169	5697	5338	5200	4200	4071	10100	4827
MCA_RS00010	2431	1572	4170	895	1653	935	1770	1504	3185	3176	2241	4823	1726	5381	3242
MCA_RS00015	9942	4075	7003	1248	4021	3660	4430	5481	7157	7042	9567	5994	4740	9330	7748
MCA_RS00020	8447	3116	7501	1353	2966	4274	3785	3751	6479	6472	7879	6168	3509	9242	6261
MCA_RS00025	34051	10398	25833	4285	4364	8560	25935	27139	19636	21510	36416	16325	8488	31410	14982
MCA_RS00030	26382	11431	24247	2417	3324	4973	20953	22687	15766	21809	34396	12715	10296	30198	15980
MCA_RS00035	6318	3436	5657	1206	1322	1875	7318	6653	6143	6112	9208	2878	3765	9580	5256
MCA_RS00040	29998	11762	30090	5504	7949	10027	29005	19809	28414	28210	29445	26678	14468	39614	22091
MCA_RS00045	30240	13063	29950	6838	8793	9581	26886	21993	25488	28506	33027	22695	14748	42417	26970
MCA_RS00050	93559	38751	105792	24869	40625	48243	81159	54320	83916	96631	91761	72318	50332	139841	70547
MCA_RS00055	96419	43909	106274	19210	24801	37361	83195	72198	95466	91806	102340	69778	47529	134045	80189
MCA_RS00060	104098	38547	112633	29059	62686	69986	68101	47351	85171	88359	79671	67048	49130	125436	58085
MCA_RS00065	22951	8151	28299	9304	18865	19344	16414	9377	22395	18638	19424	14568	12500	35759	17045
MCA_RS00070	19957	8857	16868	5150	7978	10937	11093	13168	15054	15077	15423	12042	7955	23183	9986
MCA_RS00075	28103	10597	32292	12014	26089	23357	16307	12385	25083	24621	22685	23917	18162	40870	18228
MCA_RS00080	21725	8640	20959	3260	6445	8248	15374	12374	15271	14232	21851	12634	9049	24809	14571
MCA_RS00085	7582	2952	7944	1663	6021	5684	5494	3044	8489	8168	7327	5314	3133	11259	4961
MCA_RS00090	2065	484	1163	449	826	1069	990	635	1128	1097	1513	1793	910	2480	1508
MCA_RS00095	1029	681	2007	455	645	1107	1282	1565	1357	699	1686	2171	813	2680	1678
MCA_RS00100	4309	1987	4018	1144	1489	2638	2618	1489	4469	3465	4000	5161	2931	4721	2549
MCA_RS00105	4748	1320	2655	939	2401	1945	4029	2670	4440	4006	2829	2530	2036	6239	2883
MCA_RS00110	5628	1385	6094	1571	3726	3646	4241	2795	3994	5044	4900	4396	3848	8619	3953
MCA_RS00115	3735	472	2665	445	1804	2081	1204	2095	2876	2281	1783	2190	1011	3316	571
MCA_RS00120	3471	1568	4522	776	2840	2625	3003	1219	2197	4302	3356	2708	1384	5215	2107
MCA_RS00125	10154	3148	8402	2117	2892	4010	8279	5779	8423	8436	10561	4918	4692	12407	6204
MCA_RS00130	1726	628	1381	425	293	1211	863	1342	1065	1954	1869	2166	728	2342	1169
MCA_RS00135	913	378	860	53	385	373	470	317	1108	872	988	774	496	1532	466
MCA_RS00140	0	0	0	0	177	0	90	0	76	67	72	122	99	179	255
MCA_RS00145	192	11	94	0	0	0	69	90	107	198	249	105	195	420	188
MCA_RS00150	518	524	648	37	313	112	286	241	670	329	729	1157	735	764	472
MCA_RS00155	1237	560	779	128	397	743	460	292	801	907	1114	1072	543	1794	942
MCA_RS00160	793	378	508	139	258	247	576	188	421	514	579	470	282	1189	835
MCA_RS00165	1104	284	376	40	74	0	596	236	868	640	838	288	311	1487	977
MCA_RS00170	667	93	619	66	0	219	541	723	582	748	717	1183	584	1192	514
MCA_RS15840	437	255	297	33	165	66	107	188	118	242	77	239	46	647	608
MCA_RS00180	2404	703	1765	559	288	1297	1564	825	2227	1802	1808	1405	1322	4009	1897
MCA_RS00185	11045	3407	13348	2903	5564	6323	9404	9383	9529	10016	12101	7068	5229	18217	8028
MCA_RS00190	4103	591	6189	1085	2058	2814	3518	2402	3740	4381	4909	3631	2065	6719	2334
MCA_RS00195	8601	3626	10342	2135	4778	5775	7214	6689	7118	7235	9527	4256	3509	12095	6019
MCA_RS00200	7579	3360	7847	1719	3929	6288	4808	3837	5807	4901	7390	5311	3599	12004	5534
MCA_RS00205	6388	2256	5641	1044	2132	3479	3233	3066	3944	5106	4676	5235	3499	8707	3284
MCA_RS00210	10078	5527	7108	790	2559	4036	9750	6995	8502	8352	11651	4267	4129	14927	8754
MCA_RS00215	8796	2640	6222	1098	2299	5078	5216	4222	5096	6023	8361	4187	2934	11318	7366
MCA_RS00220	17465	5778	13690	2698	5190	6450	7916	6752	10537	9094	12633	10571	8273	23039	12204
MCA_RS00225	10268	3263	9737	1621	4652	4382	6329	4823	10289	8985	10025	10832	6286	16220	9943
MCA_RS00230	4441	1296	5465	881	1143	2579	4326	3268	4061	4132	5672	3768	2796	9090	3353
MCA_RS00235	4377	1236	3155	446	875	1025	3530	3378	2901	2869	4010	2235	1707	4413	3235
MCA_RS00240	727	217	230	0	65	0	387	168	427	52	642	135	326	726	104
MCA_RS00245	9045	5165	11845	3896	8702	7393	5550	4477	10671	10535	7544	10715	8530	18162	12039
MCA_RS00250	50249	23947	50043	11173	21621	32042	33136	28345	45629	37571	38017	34478	23996	51412	41282
MCA_RS00255	16170	7424	18031	4793	12572	10882	11016	6326	13564	10933	15082	9287	10696	23328	12536
MCA_RS00260	13351	5021	11977	2244	5781	5471	7093	5535	8533	9496	10413	10326	5540	15261	8182
MCA_RS00265	7307	5211	7144	974	1449	1281	7639	5167	8338	5989	8090	6967	2971	8930	8318
MCA_RS00270	13078	5367	12724	3454	6465	5970	8307	7114	7850	10662	9942	6511	7251	15268	9542
MCA_RS00275	12457	3935	12875	3580	9522	8926	7785	6455	11610	10627	11462	9296	6949	18437	9913
MCA_RS00280	19169	7211	18055	2136	4268	6096	17463	18398	16593	15575	30527	11117	8127	23132	10778
MCA_RS00285	9033	4127	7977	1828	3795	3260	4789	4272	8179	6438	10234	8269	4545	10810	5998
MCA_RS00290	135	0	355	66	310	201	91	243	160	51	542	395	510	955	132
MCA_RS00295	426	86	311	37	85	263	494	304	368	351	732	141	368	951	620
MCA_RS00300	5546	1626	4440	417	1839	1166	1871	1086	3477	2128	3636	2783	2386	5914	3143
MCA_RS00305	3802	1129	2409	889	1022	2213	3072	1221	3767	2183	3659	2944	1485	4468	2719
MCA_RS00310	2819	1840	2718	322	582	716	1532	1180	2952	2482	2631	1950	1350	3839	2164
MCA_RS00315	41817	16669	37698	11951	21360	23980	28015	20854	30939	35005	27584	30638	20093	51737	32144
MCA_RS00320	28475	12311	29178	9647	23212	19298	17607	8968	25273	25485	18227	23598	17459	42299	18807
MCA_RS00325	6432	1865	6531	1173	3962	4206	3131	2940	4101	5502	4723	4827	3949	9809	3671
MCA_RS00330	2010	678	1557	523	1223	486	1212	700	1684	1337	1249	1722	824	2618	1677
MCA_RS00335	6529	2757	6234	1256	2435	3738	3691	2798	5832	5273	5189	3630	4726	10814	6524
MCA_RS00340	260	85	107	134	0	100	403	94	199	71	304	384	87	458	83
MCA_RS00345	3606	1028	2930	683	1483	1711	1079	1508	2936	1956	3394	3306	2227	5105	3345
MCA_RS00350	1751	566	2488	415	1162	976	1413	824	1381	2640	1791	3515	1855	3874	1282
MCA_RS00355	1089	287	1272	247	630	385	124	638	1855	959	814	2181	1626	2869	1735
MCA_RS00360	922	437	1665	386	899	1413	290	194	1316	1124	1064	2024	2289	3473	1727
MCA_RS00365	4314	3203	3525	2261	4907	4898	1941	1281	3643	6271	2729	10548	8883	13833	7706
MCA_RS00370	1600	623	2956	545	1648	1470	601	243	2081	714	522	3138	3007	5510	3173
MCA_RS00375	1437	548	1785	319	1160	868	386	297	1327	1186	668	3264	3555	4305	2455
MCA_RS00380	4333	1818	5285	844	1200	2376	2413	3024	4234	4436	4005	8072	7072	12216	8058
MCA_RS00385	971	154	1119	159	306	472	717	1461	923	1083	1079	864	561	1969	1018
MCA_RS00390	4512	2116	5369	1286	1865	2201	3430	1897	3538	4067	4143	2931	2868	6945	3225
MCA_RS00395	8376	1856	8185	3373	5607	5576	4861	2783	7387	7380	8659	9518	5696	13668	6864
MCA_RS00400	5058	2166	5245	1217	2124	3158	3434	1893	2752	4982	5623	3035	2890	7827	3477
MCA_RS00405	11902	4154	11348	1558	3964	4953	6826	4018	8889	8223	8708	8338	6215	14825	6665
MCA_RS00410	22378	7918	22073	3757	11275	10254	15197	10534	19923	18332	20270	14583	11011	31596	15914
MCA_RS00415	4502	1763	4325	907	1219	1815	3082	2287	2537	2606	4478	1931	1633	5615	3081
MCA_RS00420	29089	10277	35354	8447	20473	25867	19219	15238	25849	25378	24707	29885	19859	42857	25546
MCA_RS00425	3603	1363	2909	687	2017	1954	2000	997	2734	1771	2501	2848	1629	4179	1924
MCA_RS00430	5069	1120	5141	1141	1532	1698	3504	1297	2147	3652	3790	4422	2806	6302	1907
MCA_RS00435	14354	5260	14673	3741	6302	10738	9551	5961	11889	12826	13477	17683	8882	22257	13639
MCA_RS00440	1469	376	1235	202	893	447	712	433	562	879	759	1701	835	2147	1436
MCA_RS00445	2848	1058	3684	123	746	1574	1742	1436	2516	1973	2446	1726	1785	3575	2313
MCA_RS00450	931	295	453	62	93	0	824	219	284	293	811	613	411	1150	424
MCA_RS00455	687	281	777	31	557	556	734	367	771	499	854	714	467	1512	622
MCA_RS00460	857	159	799	103	152	560	1191	834	1008	875	1441	682	478	1640	759
MCA_RS00465	23702	8820	25262	7688	15468	18948	17063	11090	20161	21039	17466	16973	13033	36507	13573
MCA_RS00470	11701	4845	10336	3604	4410	7051	6973	6168	8842	9282	10136	9195	5954	14233	6181
MCA_RS00475	8628	4349	10541	3226	5244	6669	7991	6229	8984	9631	10505	9419	4190	12802	6461
MCA_RS00480	19697	8121	20224	4790	9826	12457	11985	9033	16464	14185	14675	15035	9845	23128	14570
MCA_RS00485	23088	11551	24850	5025	7829	8037	15626	15309	23363	22121	24672	18659	10523	33081	19625
MCA_RS00490	15720	5013	14524	1706	3898	5745	10921	8738	11958	12638	15685	7709	6867	22316	11762
MCA_RS00495	4576	1991	3251	105	432	1105	4002	3221	2427	2174	6555	2373	1695	3619	2979
MCA_RS00500	14087	4688	15966	3693	7027	6713	9873	5664	9403	9854	11974	8587	7891	18986	10487
MCA_RS00505	10573	3309	10125	2319	3940	6409	5322	3492	5966	5749	7076	5801	4013	12068	3072
MCA_RS00510	1499	695	1393	289	704	647	977	540	1359	1013	1843	1836	576	1800	712
MCA_RS00515	12606	4568	15148	4881	7367	8304	9468	7101	13371	11811	13733	10802	7509	22635	10384
MCA_RS00520	7140	1978	6235	1229	3431	4729	3364	1949	5810	3784	4891	4230	3539	8848	3437
MCA_RS00525	15181	6606	15834	3686	11502	9170	10908	6663	13380	11116	12329	8940	6639	20901	11725
MCA_RS00530	10840	2488	8794	3112	7331	5658	5843	4950	7864	8235	7137	7988	5047	14267	6026
MCA_RS00535	2727	596	2811	350	1599	1060	364	789	1954	1763	1814	1569	600	3404	1018
MCA_RS00540	5638	2111	5758	1766	4237	4521	4123	2981	4385	5796	6542	5156	2846	9123	3969
MCA_RS00545	847	660	1278	349	829	568	1420	302	674	794	1790	810	1138	1732	597
MCA_RS00550	3534	2116	4540	831	2397	1942	3326	2806	4432	4278	3631	3149	2303	5434	3238
MCA_RS00555	3836	1170	3768	506	1237	2079	2560	2286	3381	1658	3245	2088	2370	5671	3654
MCA_RS00560	9815	2956	7556	1575	2681	2389	7388	4616	5154	7413	7329	5201	3832	10258	5114
MCA_RS00565	3439	1167	3802	572	1903	1123	1220	1546	2713	2409	3928	2540	1346	5554	2295
MCA_RS00570	12594	4373	12254	2696	7182	8386	7556	6045	10443	8020	9831	11372	7274	16938	10155
MCA_RS00575	6030	2071	4846	655	1794	2500	3679	3334	4104	3368	5021	3265	2905	6730	6484
MCA_RS00580	2113	353	1351	352	1368	734	1180	234	1791	1118	910	706	990	2880	939
MCA_RS00585	3471	752	3622	916	2147	2254	2597	1935	2693	4102	2717	2877	1921	5561	2620
MCA_RS00590	4931	1674	4223	872	3012	3533	3464	2122	4043	3255	3837	3304	2836	7531	3895
MCA_RS00595	544	275	293	48	370	440	279	117	393	395	232	755	228	1135	549
MCA_RS00600	3908	1765	5277	1120	2551	2544	2426	2173	3906	2611	2353	3949	2122	6660	2495
MCA_RS00605	1331	877	2235	272	832	948	1363	441	1733	1344	2116	1929	1022	3097	1582
MCA_RS00610	937	365	436	234	280	198	450	264	511	400	722	417	506	1378	722
MCA_RS00620	388	10	162	28	68	138	400	290	631	283	230	230	303	606	500
MCA_RS00625	2570	804	2219	221	571	372	1268	1482	1441	1046	1580	1481	940	2470	1397
MCA_RS00630	691	234	606	161	376	617	226	347	658	931	626	793	208	939	370
MCA_RS00635	10678	4445	10301	2164	5349	6839	9571	7865	6915	8350	12643	5693	4481	13001	6435
MCA_RS00640	1515	775	1179	445	662	1008	795	1307	1777	1688	1544	1601	1028	2985	950
MCA_RS00645	7073	2775	9680	2009	3773	5241	4909	4253	7075	5197	7732	6281	4951	13107	5391
MCA_RS00650	10128	4953	9612	1723	5080	5933	8944	4783	8897	7059	6874	5437	5348	11032	8436
MCA_RS00655	5918	1922	6706	1242	2736	2678	3643	1705	4254	3754	5174	3945	2654	7123	3288
MCA_RS00660	3039	1131	3281	253	1418	1695	2931	1039	1843	2760	4105	2468	1616	4491	2227
MCA_RS00665	12815	3728	14781	4916	11461	11524	8473	3921	12483	10592	10622	13981	8108	22775	9645
MCA_RS00670	3825	2010	4625	1238	1888	3530	2841	1030	3956	2755	2795	2377	2189	5469	2547
MCA_RS00675	4296	842	3723	618	2052	2614	2049	1992	3275	2765	4002	4122	2697	6554	2672
MCA_RS00680	9201	4678	8673	5363	22670	6208	5043	2730	7081	8068	6555	13577	6304	15383	11480
MCA_RS00685	4952	1327	6424	1312	1171	2101	4140	3700	4387	4990	6232	3987	2350	5808	3462
MCA_RS00690	32689	14522	35106	10616	17901	22428	26951	20031	28772	31283	39763	24696	18990	50465	23528
MCA_RS00695	32936	12138	29570	5101	10382	14858	25180	18608	26187	26258	34645	18573	16631	44137	23040
MCA_RS00700	2947	1629	3895	759	1361	2201	1367	1266	3372	2981	2028	1849	1982	4299	3071
MCA_RS00705	9016	3769	9768	2068	4826	5309	5404	1800	6841	5871	4543	10831	6106	11743	8176
MCA_RS00710	23011	8507	20596	5198	10437	15864	11161	6070	17805	16661	13617	20101	12435	28168	16255
MCA_RS00715	15110	6930	16703	3972	7252	8525	9661	5974	13788	12296	14101	13228	8985	22971	10343
MCA_RS00720	2203	932	2103	157	664	1319	1691	594	1401	1519	1448	1820	1303	2917	1228
MCA_RS00725	14340	5195	10066	1666	2341	5729	6766	5594	7635	8703	11178	8329	5683	15935	10075
MCA_RS15500	12241	6084	8661	1148	528	2989	4767	6697	7663	8684	11641	11964	4267	12486	11450
MCA_RS00735	14268	4968	12411	3626	5544	6288	7682	4810	9614	7955	9263	14242	8573	17694	11731
MCA_RS00740	3392	1728	4058	1379	3288	2512	2742	2679	3628	3418	3601	4538	3072	7520	3328
MCA_RS00745	8235	2514	8892	2636	6257	6016	4217	3636	6281	6577	7173	9905	6040	12845	6901
MCA_RS00750	5721	1152	4333	1129	3353	2396	2410	2110	4797	3787	3517	4896	3636	6852	1547
MCA_RS00755	8359	3757	6481	1228	2226	4079	5969	6202	7340	6172	7947	8666	4582	11082	7923
MCA_RS00760	4012	1373	4544	1834	4036	3421	3041	1671	4357	3728	4101	4372	3907	8322	3440
MCA_RS00765	4636	1736	5274	1130	1843	2683	2431	1857	2677	4017	4815	5328	3429	8300	3591
MCA_RS00770	4170	1725	4141	1291	2284	1863	2224	1558	3513	2983	4209	5262	2759	7642	4062
MCA_RS00775	27005	12431	23035	4593	5921	8495	11696	9169	18530	15642	16000	25687	12105	31195	17985
MCA_RS00780	2268	417	1137	46	560	772	1023	853	593	1295	1468	2213	1076	2678	1734
MCA_RS00785	5060	2286	6083	1029	2235	2464	3714	2130	5160	3974	5275	4657	2975	9141	4427
MCA_RS00790	13504	6760	16772	7935	18438	19200	9162	5679	14734	12425	12263	20819	9962	27452	14302
MCA_RS00795	8821	3499	7947	1549	2231	3909	6598	4578	7282	5124	6328	4943	3830	11647	5317
MCA_RS00800	10233	2928	11253	1679	4341	5506	6580	3322	8022	7390	5935	10895	7518	13611	6630
MCA_RS00805	2274	1054	3170	540	502	1036	2004	874	3678	1801	2698	5220	2767	3948	1547
MCA_RS00810	2009	644	2242	581	632	964	1343	1181	2517	1582	2236	4107	2156	2466	1854
MCA_RS00815	2900	729	3127	679	1024	1694	1239	852	1832	2245	1961	3863	1913	3839	2212
MCA_RS00820	3202	1032	3782	623	1234	1657	1813	1333	2552	2217	3033	4792	3087	3538	2736
MCA_RS00825	1334	896	1364	246	696	576	711	391	1872	1118	1367	5803	2553	2378	588
MCA_RS00830	7393	2781	10072	2352	4526	5163	3010	2560	8771	5146	5410	28245	16675	9944	6341
MCA_RS00835	2760	802	3442	215	507	965	1574	957	3252	1629	1432	4663	3252	3707	3008
MCA_RS00840	2659	1022	2047	147	502	305	1251	893	1687	1612	2778	2209	1649	3792	2207
MCA_RS00845	2265	1122	3034	599	1174	2800	880	977	1737	1797	1981	2350	1537	3396	2359
MCA_RS00850	2454	1048	3404	416	447	692	1561	1364	1333	2090	4629	1992	1745	4506	2248
MCA_RS00855	10656	3679	7312	1098	1481	2654	8207	6260	7945	9318	17345	14196	7299	18218	15557
MCA_RS00860	3869	1041	3791	678	1045	1618	1149	1467	3251	2548	2898	3188	1474	4151	3682
MCA_RS00865	7538	3200	7488	1384	3568	4036	5468	3568	6630	6332	8544	4949	4107	11679	5697
MCA_RS00870	3346	1646	2988	560	1246	2662	1817	2337	2391	2134	2699	3067	1208	4210	2840
MCA_RS00875	8881	4463	7986	1712	2934	4652	4786	4288	6834	5770	6645	8987	4745	12277	4733
MCA_RS16180	586	0	466	0	0	201	346	318	522	239	550	134	97	562	154
MCA_RS00880	7965	4298	11457	1296	2086	3760	6051	5500	9890	7099	8639	9088	5902	14583	8298
MCA_RS00885	8169	4265	8045	1220	2117	2317	6684	5451	9820	8040	10114	8025	5271	14415	9677
MCA_RS00890	16440	4984	14172	3245	4292	9407	11922	8761	12958	12444	18428	12096	9664	27052	14083
MCA_RS00895	29039	13345	26282	3313	4839	10379	18313	13763	27396	23545	22003	16496	15808	36495	23175
MCA_RS00900	2724	1801	2577	937	654	1207	1637	968	2293	1971	3223	1959	1787	4480	3640
MCA_RS00905	2059	574	1669	619	1105	928	988	875	1296	913	1323	1472	1124	2845	679
MCA_RS00910	17923	6186	19565	4876	13125	11192	11373	6549	14185	13559	16077	21619	10705	26517	11183
MCA_RS00915	4437	1551	1934	520	632	885	1466	931	2123	2298	3830	3195	1386	3562	2547
MCA_RS00920	1962	768	2013	493	1817	952	1040	886	2280	2214	2587	1993	1311	4568	1318
MCA_RS00925	8027	3470	8294	2519	5724	4468	6085	3424	6615	6385	8811	8935	5225	15290	6221
MCA_RS00930	3536	956	3668	1090	2250	2476	3161	2354	3832	2861	2660	3979	1839	5699	2968
MCA_RS00935	5956	2567	6082	1238	2768	3303	2128	2623	3367	4897	5157	3313	3843	7512	3651
MCA_RS00940	2998	834	2032	386	911	1524	1508	638	1482	1417	2528	2271	1204	3186	1232
MCA_RS00950	13737	3313	8546	1361	2119	3472	10270	8241	7687	8140	15575	5888	3973	11965	7111
MCA_RS16185	5810	3439	5529	812	1360	2172	3701	4202	4520	5711	6847	3935	4435	6978	5825
MCA_RS00955	10628	2926	9053	1179	1622	1087	6422	4041	6351	7863	9767	3687	4459	10743	7343
MCA_RS00960	20909	12808	16277	3213	4727	4520	11857	13091	20364	15111	19479	14014	8938	28705	21441
MCA_RS00965	18625	3019	11979	3730	6122	11916	13151	12466	8195	6152	12951	7643	4668	12024	5701
MCA_RS00970	679	486	774	115	77	741	327	405	348	479	386	405	426	541	591
MCA_RS00975	380	230	449	261	164	0	153	647	522	413	588	1087	450	797	391
MCA_RS00980	7301	3166	9158	612	1928	1749	3923	4057	6670	6151	5882	5999	4176	9995	7385
MCA_RS00985	907	520	1176	43	494	287	619	738	1241	643	1310	807	698	1869	634
MCA_RS00990	4657	2030	3053	788	858	1237	2683	1541	2350	2940	2298	2137	2109	4333	3280
MCA_RS00995	10091	2731	8080	1950	4198	5655	3888	3742	6860	4973	6884	7921	5441	11455	7056
MCA_RS01000	3800	1727	3313	764	751	1584	2339	2064	3699	2797	3069	2552	1841	5806	2964
MCA_RS01005	994	167	462	342	3653	231	790	279	602	819	831	1252	509	1383	623
MCA_RS01010	154	208	285	0	386	226	258	215	65	457	61	77	373	329	571
MCA_RS01015	76	0	71	58	135	0	101	0	280	0	0	0	3	152	111
MCA_RS01020	357	88	580	61	548	363	187	128	643	373	805	422	466	814	347
MCA_RS01025	504	99	436	91	63	184	233	232	346	2	305	255	174	867	250
MCA_RS01030	386	72	409	153	296	97	0	201	599	55	595	3	348	666	256
MCA_RS01035	254	142	100	198	260	303	231	0	0	4	251	119	179	336	250
MCA_RS01040	714	57	661	187	228	194	565	86	714	244	409	1346	519	598	839
MCA_RS01045	1221	502	997	122	390	379	664	505	992	528	982	647	892	1666	1368
MCA_RS01050	0	0	68	1	0	0	0	2	0	0	0	200	64	195	113
MCA_RS01055	249	73	753	105	157	0	139	168	92	187	418	573	450	704	198
MCA_RS01060	880	677	1818	652	464	550	461	555	926	886	844	1749	946	2335	1079
MCA_RS01065	98	215	352	43	99	0	553	0	335	87	446	588	232	592	235
MCA_RS01070	235	0	96	50	0	0	242	209	489	183	206	0	217	485	242
MCA_RS01075	449	191	919	33	878	912	480	534	876	657	570	282	555	1723	1003
MCA_RS01080	940	104	837	199	266	348	380	522	569	543	643	1128	655	1536	943
MCA_RS01085	86	0	182	77	66	0	0	116	168	0	122	392	235	209	200
MCA_RS01090	217	0	270	99	381	106	67	0	514	202	161	449	120	469	148
MCA_RS01095	972	139	835	329	652	1020	349	781	905	1084	565	948	495	1327	783
MCA_RS01100	1175	98	357	36	259	705	193	0	382	267	233	90	249	814	500
MCA_RS01105	159	87	5	0	0	0	158	593	252	161	430	0	155	566	252
MCA_RS01110	170	0	0	0	66	121	206	0	122	20	143	1	62	303	257
MCA_RS01115	192	100	645	153	320	426	216	193	576	468	480	213	233	1111	487
MCA_RS01120	19750	8300	20079	4546	9843	12631	11982	8710	16562	14139	14569	15134	9809	23395	14659
MCA_RS01125	1616	835	536	416	1461	300	805	547	1154	910	1641	1738	330	1786	1088
MCA_RS01130	2554	816	2821	774	1297	2054	1603	2152	2045	3078	3226	2935	2323	6088	2195
MCA_RS01135	14985	5526	14543	2901	4895	6506	9278	7330	12937	13741	13785	19842	13491	26234	13251
MCA_RS01140	14790	6827	10998	999	1023	4148	10221	8148	12334	13723	12178	17467	9948	21310	16654
MCA_RS01145	1505	303	1269	220	379	425	361	362	997	964	1321	1916	1228	1816	611
MCA_RS01150	251	309	614	289	758	233	643	238	395	935	736	1671	1068	1426	763
MCA_RS01155	551	109	262	82	305	112	226	143	465	433	273	325	381	273	504
MCA_RS01160	383	45	230	132	302	116	90	0	353	88	121	403	121	313	553
MCA_RS01165	101	97	71	0	7	0	0	0	192	74	129	180	46	202	0
MCA_RS01170	0	0	0	0	0	0	0	0	0	0	54	103	39	113	0
MCA_RS01175	278	0	198	22	70	0	0	0	91	91	150	105	166	223	0
MCA_RS01180	7413	2708	7730	1656	3861	4957	3154	2543	4578	3984	5401	7317	4080	7546	4792
MCA_RS01185	9975	2958	7114	1772	6026	8429	3721	3409	6486	5975	5526	9775	5949	11771	6783
MCA_RS01190	4246	1725	3789	563	691	1762	1509	1074	3170	3779	3419	3884	2291	5751	3376
MCA_RS01195	7375	3071	7106	1492	2896	3860	6329	4698	6539	6685	8748	5939	4210	11935	6307
MCA_RS01200	6296	2656	5224	1302	2725	2705	2925	2409	5191	4618	4371	5475	3842	8932	4762
MCA_RS01205	5294	1689	4593	1178	1695	1524	3095	2300	5026	4281	4916	5022	3593	8105	4196
MCA_RS01210	1922	579	801	111	408	1043	507	735	1312	1018	1650	664	791	1946	1416
MCA_RS01215	291	95	416	290	728	671	440	306	627	274	238	129	329	1054	232
MCA_RS01220	84	0	72	58	0	0	132	0	0	91	388	0	111	356	0
MCA_RS01225	213	87	257	0	345	379	0	78	359	0	190	374	281	456	112
MCA_RS01230	180	0	138	0	122	0	219	194	0	164	116	115	270	86	0
MCA_RS01235	194	206	142	183	131	101	320	0	312	152	494	0	115	255	266
MCA_RS01240	1507	713	1595	505	845	1514	525	681	973	933	975	2226	1190	2211	627
MCA_RS01245	224	0	140	85	264	251	150	0	607	384	231	547	85	137	339
MCA_RS01250	1381	87	498	243	452	697	411	557	1018	727	328	791	557	1071	481
MCA_RS01255	87	2	345	0	0	0	0	0	392	0	123	128	79	94	0
MCA_RS01260	157	107	654	0	31	97	67	0	234	361	118	618	63	275	0
MCA_RS01265	597	185	899	6	185	273	441	0	744	449	673	395	276	1067	565
MCA_RS01270	261	0	309	0	135	222	290	311	199	74	206	258	279	699	253
MCA_RS01275	654	404	364	107	0	136	586	147	0	471	561	0	306	572	254
MCA_RS01280	144	189	307	0	101	142	241	0	309	168	203	542	183	514	248
MCA_RS01285	136	258	241	74	193	197	0	0	177	286	0	160	217	486	282
MCA_RS01290	932	650	1686	768	1077	1245	1028	627	1465	1191	1451	1376	1155	3114	1528
MCA_RS01295	53	0	118	37	52	0	216	0	274	240	0	282	124	289	105
MCA_RS01300	744	184	176	171	554	571	750	333	320	510	472	802	293	874	650
MCA_RS01305	384	106	550	68	202	294	98	125	589	275	447	315	206	440	242
MCA_RS01310	461	53	195	68	0	132	0	117	191	165	324	392	299	169	91
MCA_RS01315	450	182	677	84	78	444	182	311	325	228	168	597	302	765	469
MCA_RS16190	63	0	144	54	0	108	0	340	219	111	1	108	66	227	247
MCA_RS01320	4439	1348	4300	962	2878	2765	2324	2050	4191	3535	4604	4152	2886	7220	2259
MCA_RS15505	888	208	649	44	658	360	433	591	1418	552	1114	773	685	1052	825
MCA_RS01330	862	664	864	200	173	200	518	729	575	195	1583	401	384	682	964
MCA_RS01335	746	270	139	0	109	0	540	479	886	308	1250	256	328	764	491
MCA_RS15865	297	366	467	124	498	0	715	119	258	368	155	342	130	734	276
MCA_RS01340	18239	7074	18278	6522	12692	12928	11303	11007	16718	17152	16961	18367	10459	21455	14116
MCA_RS01345	3651	1396	4149	963	3028	2248	2558	1712	3505	3498	4024	3161	2377	5615	2851
MCA_RS01350	2326	963	2067	541	1464	602	1691	985	1476	1747	1968	1450	1166	2154	2228
MCA_RS01355	4648	1734	3964	1824	2125	2675	2914	2918	4365	4255	3443	4077	3367	6428	4643
MCA_RS01360	6803	2913	7519	2201	2849	4029	5547	4706	6019	5720	8967	7554	5063	10686	7067
MCA_RS01365	401	305	302	52	127	117	78	167	268	104	301	120	0	369	209
MCA_RS01370	2434	398	1482	384	304	982	1057	1331	1075	1048	2142	1070	1057	2387	1349
MCA_RS01375	5898	2368	5274	1650	3470	4371	5289	3816	6648	6569	7909	7246	4828	10720	4830
MCA_RS01385	642	217	769	267	170	307	632	161	377	347	1000	194	249	935	451
MCA_RS01390	4024	2682	4072	1420	2866	4363	2891	1793	4643	2395	4059	2710	2055	6033	3363
MCA_RS01395	10042	5484	13633	4303	7524	6677	7556	7584	12443	8279	11181	7583	4444	15302	7813
MCA_RS01400	28985	11280	29096	7807	15837	24249	19458	16572	21017	19632	25916	14201	8621	33473	18493
MCA_RS01405	621	490	697	185	394	566	771	440	1398	663	947	1109	899	1179	650
MCA_RS01415	9791	3880	9728	2571	6236	5981	7290	5273	7587	10160	10726	5351	5164	16143	7098
MCA_RS01420	1480	561	1925	338	595	940	1807	893	1466	1722	2900	1648	940	2956	1762
