	SP1	SP2	SP3	SP4	SP5	SP6	SP7	SP8	SP9	SP10	SP11	SP12	SP13	SP14	SP15
MCA_RS05740	1694	669	1924	554	594	720	1444	900	1724	1724	1967	2380	1544	3332	1962
MCA_RS05745	7203	3789	8278	898	1134	1826	4593	4783	6422	6501	9650	7132	4092	9597	8615
MCA_RS05750	4659	2012	3899	255	830	803	5901	4218	5378	4468	7127	5619	2710	7254	5981
MCA_RS15660	484	393	161	109	49	159	153	130	294	417	429	120	85	323	294
MCA_RS05755	3195	692	3750	578	989	771	1764	1559	2288	2456	3571	1988	1240	4806	2487
MCA_RS05760	529	231	181	0	295	0	399	539	682	1065	1076	841	184	1349	868
MCA_RS05770	16368	6174	16750	2819	7747	6562	8271	5500	15032	11559	10221	12006	12179	27216	11813
MCA_RS05775	19394	6892	16783	2769	4826	6910	11279	7767	12109	12660	14463	16187	9259	23426	11235
MCA_RS05780	10914	4677	8947	719	643	1845	5483	4548	6131	6037	10831	8252	5266	14008	8584
MCA_RS05785	2063	1332	2359	376	144	269	1054	937	3120	2137	1957	2569	1628	3640	2094
MCA_RS05790	6323	3341	5621	1234	2645	3201	3089	2900	5670	5437	5831	4773	3185	9123	4688
MCA_RS05795	15332	6427	16174	3808	8320	9880	8978	6171	12857	11138	11304	12200	7762	19063	10946
MCA_RS05800	7849	2193	7246	2936	4201	4497	3722	4225	5862	6373	6394	9116	4622	10128	6811
MCA_RS05805	3044	1432	4475	818	2053	1998	1856	1536	4502	2768	2847	4920	1801	5695	3393
MCA_RS05810	1592	1260	1536	344	957	1025	837	931	1433	1525	1192	1731	882	3490	761
MCA_RS05815	1049	274	736	387	238	257	89	379	1014	330	855	702	325	1270	1108
MCA_RS05820	339	274	639	287	243	0	88	116	250	166	293	385	199	585	102
MCA_RS05825	168	198	767	52	292	698	776	514	615	242	499	614	381	349	330
MCA_RS05830	1298	305	1586	611	2224	1753	6729	4670	6250	6399	7320	6565	5710	15799	6885
MCA_RS05835	1064	109	468	185	483	662	1103	279	1614	1460	1643	2280	518	3076	1786
MCA_RS05840	2147	428	1742	0	78	558	1556	1759	1506	1483	1865	2422	946	2407	1648
MCA_RS05845	4100	301	2359	780	562	1264	2070	1369	2191	2318	2286	1952	810	3627	1358
MCA_RS05850	9480	407	5996	1222	3290	4994	5630	2520	5172	6233	7965	6870	2012	10105	3170
MCA_RS05855	7158	367	5226	1439	2545	5041	1622	1359	3606	2968	3732	4685	1397	4610	3178
