	SP1	SP2	SP3	SP4	SP5	SP6	SP7	SP8	SP9	SP10	SP11	SP12	SP13	SP14	SP15
MCA_RS08950	6.777455461	6.309463683	5.704026903	5.087929109	4.957960059	5.822238013	7.423013386	7.548291371	7.014562518	6.989680167	7.356581389	5.302578981	6.319157993	6.387354778	6.534810057
MCA_RS08955	8.018510049	8.18568339	8.016292906	8.256123152	7.618258339	7.764625658	8.822104258	8.991084766	7.612958389	8.141741712	8.526826185	7.575099314	8.13606236	8.05107743	8.249482858
MCA_RS08960	7.196148381	7.223840957	7.462921777	7.148269278	6.857381695	7.297028194	7.92851354	8.002376272	7.637029885	7.920672467	7.613304674	7.259772127	6.981844295	7.729399213	6.930242804
MCA_RS08965	4.709130354	4.203374276	4.228643208	4.783181148	3.625651644	5.492326075	5.204110564	4.828966172	5.543611975	4.982804764	5.505494107	4.886738454	4.198636062	4.863005728	5.781091066
MCA_RS08970	6.026171338	5.772385678	6.057637354	5.020694296	5.878801696	4.774876454	5.77930007	6.223746357	5.491197715	5.706462026	5.881321691	5.813033887	6.23333562	6.172490597	5.374874385
MCA_RS08975	5.510298455	5.040105689	5.906964258	5.111621561	5.733198214	6.159886649	5.995380422	5.61603636	5.439114866	5.744636092	5.80856497	5.622838942	6.02777147	5.579277877	5.841851774
MCA_RS08980	8.408820152	8.588519232	8.559818627	9.011814183	8.749861047	8.775442048	8.390987848	8.199010044	8.46122912	8.067198186	8.279808306	8.473897992	8.822085577	8.386217874	8.511962892
MCA_RS08985	6.973655763	7.518992646	6.592616277	6.294620845	6.264760591	6.303064526	6.306465965	7.12276847	6.869392121	7.099573944	6.719189805	7.629915543	6.631037573	6.182724123	7.040591293
MCA_RS08990	4.320949136	4.928446974	4.305958874	2.773764728	-3.624563463	-3.624563463	4.222790277	-3.624563463	2.913658378	2.904393737	3.781584183	5.02989809	4.504536223	2.559078816	3.026226256
MCA_RS08995	4.355428565	4.764705564	3.804309116	3.88000283	4.403336625	5.573407611	4.141704264	4.438481876	3.455183785	3.227456716	3.661472799	5.464992317	5.122297142	4.419502072	4.501405773
MCA_RS09000	2.955844194	3.283078001	2.315067276	3.719661307	1.395039685	-3.624563463	2.807908879	-3.624563463	-3.624563463	1.598708402	1.619000653	2.258183291	1.889194928	3.108500719	2.207275423
MCA_RS16285	2.549331642	-3.624563463	2.235995408	-3.624563463	-3.624563463	3.534707542	1.432353296	-3.624563463	1.66300954	-3.624563463	-3.624563463	3.505950959	-3.624563463	0.147923723	-3.624563463
MCA_RS09005	6.408766262	5.683463398	6.520302573	7.410688842	7.572522802	7.343488219	6.330527115	5.004918951	6.229568917	6.172209715	5.775190882	6.164413149	6.703500057	6.46889346	6.627689756
MCA_RS09010	5.853162575	6.175075861	6.30421123	6.337950123	6.590773266	7.345028517	5.011174556	5.739389959	5.505582312	5.730689205	6.033574449	6.647260281	6.178623702	6.244210532	5.891700995
MCA_RS09015	4.245094721	2.789226841	4.528735518	2.773764728	2.447418762	0.009135349	3.947933165	3.955976473	4.778009608	1.76433589	3.745932812	2.63616621	4.241136727	4.348555168	1.29071539
MCA_RS09020	6.322203999	6.772295652	6.601405857	6.497072597	7.251661636	6.477981925	6.106387406	5.602416412	6.363168394	6.770087464	5.879827178	7.077917597	6.620612138	6.625640443	6.398879898
MCA_RS09025	6.445474993	6.413666031	7.282035993	6.664603053	7.340804657	7.038591573	6.760041885	7.069934554	6.741071545	7.080455821	6.62331037	6.605412214	6.705019101	6.936244925	7.516872401
MCA_RS09030	6.275305853	6.09741034	6.374094161	6.095149452	5.620548293	6.771668448	6.386687578	6.582256322	6.091887972	6.246202909	5.955559126	6.95085961	6.72985514	6.141766834	6.251737121
MCA_RS09035	6.193025981	6.228914455	6.451482413	5.267393731	5.53310779	5.755854022	5.857558521	5.26691447	6.255333918	6.408310402	5.939867091	5.676680769	5.922020852	6.34897579	5.447182603
MCA_RS09040	6.553806673	5.976720397	6.101668534	6.56729317	6.475998481	6.480787084	5.595589563	5.378999424	6.093353874	5.810524007	5.82884478	6.009303436	6.510255263	6.219770502	6.181791556
MCA_RS09045	5.405794226	5.85058501	4.910327781	6.052942622	7.144052814	6.723532797	5.950541838	4.991919443	5.871246946	6.370262449	5.492840146	5.61960832	6.445393209	5.963791081	6.326835193
MCA_RS09050	8.236446473	8.020583643	8.139689472	9.060178382	9.416124355	9.130890668	7.937158219	8.102831931	8.299024233	8.383597958	7.980530984	8.781647342	8.35481133	8.35560858	8.464923248
